t,x,y,z,dx,dy,dz,ddx,ddy,ddz,speed_set,steering_set,q0,q1,q2,q3,motFRTor,motRRTor,motFLTor,motRLTor
0.047000000000000035,0.5141570552417474,0.3361944566428791,0.25373742652605746,-6.71E-14,-0.47088,5.8706158299201695e-15,-5.98E-11,-9.81,2.3143964118109376e-11,0,0,1,9.691515619202165e-17,1.095262881066021e-15,1.6862513775613853e-15,5.4466697933716693e-11,-2.28E-11,8.168816796748859e-11,-1.87E-11
0.048000000000000036,0.5141570552417475,0.3357137666428791,0.2537374265260574,1.0554879314011644e-13,-0.48069,-4.30E-14,1.7264961484180684e-10,-9.81,-4.88E-11,0,0,1,1.0318069714095651e-16,1.1102630177156677e-15,1.6794724528530646e-15,-2.84E-12,-3.02E-11,-7.10E-11,1.3769481766797474e-11
0.049,0.5141570552417475,0.3352232666428791,0.25373742652605746,-1.58E-15,-0.4905,3.195477066020811e-14,-1.07E-10,-9.81,7.493204073984088e-11,0,0,1,7.511763325723549e-17,1.0978814647406262e-15,1.6905320882512041e-15,-1.11E-11,1.4897923950941652e-11,-1.66E-11,2.3664987312741705e-11
0.05,0.5141570552417475,0.33472295664287915,0.2537374265260574,-3.88E-14,-0.50031,-6.79E-14,-3.72E-11,-9.81,-9.99E-11,0,0,1,9.396380919533865e-17,9.172326746044241e-16,1.6233104308947393e-15,-1.67E-12,-3.20E-12,4.630904856826706e-11,-4.68E-11
0.051,0.5141570552417475,0.3342128366428791,0.2537374265260574,-2.96E-14,-0.51012,1.5609774914914137e-14,9.157941294685479e-12,-9.81,8.352538816148995e-11,0,0,1,6.618389842511825e-17,1.0901517599003e-15,1.6429905130601636e-15,2.253480796178726e-11,-1.86E-11,-2.04E-11,8.665940264054955e-12
0.052,0.5141570552417475,0.3336929066428791,0.2537374265260574,5.530301235613877e-14,-0.51993,1.011780009732792e-14,8.493570569958904e-11,-9.81,-5.49E-12,0,0,1,8.491790353224895e-17,1.1665178026248278e-15,1.640350081053959e-15,-4.83E-11,-2.34E-11,4.655330929107941e-11,7.738227310770505e-11
0.053,0.5141570552417475,0.3331631666428791,0.2537374265260574,5.828099741181564e-15,-0.52974,-2.53E-16,-4.95E-11,-9.81,-1.04E-11,0,0,1,1.05202947404602e-16,1.0909114612136317e-15,1.6684827201347804e-15,6.389157888221275e-11,8.335515254056247e-11,-9.35E-11,-1.24E-10
0.054,0.5141570552417475,0.3326236166428791,0.2537374265260574,7.176853485561447e-15,-0.53955,8.211905834896333e-15,1.3487537443798825e-12,-9.81,8.464524347377316e-12,0,0,1,9.513388721733919e-17,1.0523729388012403e-15,1.666424456561208e-15,-4.93E-11,-2.50E-11,4.7202775880975304e-11,5.29807896737268e-11
0.055,0.5141570552417475,0.3320742566428791,0.2537374265260574,1.1191710288572885e-14,-0.54936,7.241190271687196e-15,4.014856803011438e-12,-9.81,-9.71E-13,0,0,1,-9.37E-17,1.0769656383436588e-15,1.6602620496823881e-15,-9.02E-11,-4.87E-11,4.1767950097473685e-11,8.159493370888256e-11
0.056,0.5141570552417475,0.33151508664287915,0.2537374265260574,3.204576095092272e-14,-0.55917,-1.07E-14,2.0854050662349837e-11,-9.81,-1.79E-11,0,0,1,1.1413377055252772e-16,8.750705940027502e-16,1.6903705737452603e-15,1.3238181682723976e-10,5.808960443602223e-11,-7.16E-11,-7.95E-11
0.057000000000000044,0.5141570552417475,0.3309461066428791,0.2537374265260574,4.411230552616453e-14,-0.56898,-1.32E-14,1.2066544575241805e-11,-9.81,-2.52E-12,0,0,1,9.35274348746944e-17,1.1330420298029498e-15,1.694411724044525e-15,-6.26E-11,-2.74E-11,3.1332283144113703e-11,3.4325823630710326e-11
0.058000000000000045,0.5141570552417475,0.3303673166428791,0.2537374265260574,-6.15E-15,-0.57879,1.0267088087034605e-14,-5.03E-11,-9.81,2.343742307218067e-11,0,0,1,9.341236876563005e-17,1.2631133144031555e-15,1.6874968637406331e-15,1.2121941569673089e-11,-5.52E-12,4.079135421799607e-11,1.311108801525629e-12
