t,x,y,z,dx,dy,dz,ddx,ddy,ddz,speed_set,steering_set,q0,q1,q2,q3,motFRTor,motRRTor,motFLTor,motRLTor
0.04300000000000003,0.5141570552417475,0.33801911664287915,0.25373742652605746,2.5887029703027988e-14,-0.4316400000000168,-2.4939625233037366e-14,1.0274682727232035e-10,-9.809999999987106,4.947265623166956e-11,0.0,0.0,1.0,5.1568760583393103e-17,1.1108159011932731e-15,1.690822784608e-15,7.752478784968166e-11,-5.134699997645475e-11,-2.3183454378521617e-11,-9.517365124711804e-11
0.04400000000000003,0.5141570552417475,0.33757766664287914,0.25373742652605746,1.1304860092162636e-14,-0.44145000000001217,9.967894524496521e-15,-1.4582169610865355e-11,-9.809999999995378,3.490751975753389e-11,0.0,0.0,1.0,6.114890639492711e-17,1.086416503177742e-15,1.7143979214127083e-15,-6.422420962411018e-11,2.377093009823696e-12,-3.399390391399756e-12,8.696949596434755e-11
0.04500000000000003,0.5141570552417475,0.33712640664287913,0.25373742652605746,-1.0903427072199696e-14,-0.4512600000000149,2.1660663267722093e-14,-2.2208287164362332e-11,-9.810000000002761,1.1692768743225573e-11,0.0,0.0,1.0,8.364722185767141e-17,1.0627549954747204e-15,1.7275540032944047e-15,1.21401596766242e-11,7.853748298637e-12,-2.901384921844266e-13,-2.8044842349472245e-11
0.046000000000000034,0.5141570552417475,0.3366653366428791,0.25373742652605746,-7.294527381475036e-15,-0.4610699999999872,-1.7273348288189205e-14,3.6088996907246593e-12,-9.809999999972286,-3.8934011555911297e-11,0.0,0.0,1.0,7.810636757692622e-17,1.016041581213655e-15,1.6764013953454362e-15,-5.551008473677302e-12,3.540409562415487e-11,-2.5678032120955658e-11,-1.736993919517869e-11
0.047000000000000035,0.5141570552417474,0.3361944566428791,0.25373742652605746,-6.710082170169038e-14,-0.47087999999998725,5.8706158299201695e-15,-5.980629432021535e-11,-9.810000000000041,2.3143964118109376e-11,0.0,0.0,1.0,9.691515619202165e-17,1.095262881066021e-15,1.6862513775613853e-15,5.4466697933716693e-11,-2.2816577703313024e-11,8.168816796748859e-11,-1.8665514819661076e-11
0.048000000000000036,0.5141570552417475,0.3357137666428791,0.2537374265260574,1.0554879314011644e-13,-0.4806900000000046,-4.297727007963278e-14,1.7264961484180684e-10,-9.81000000001736,-4.884788590955295e-11,0.0,0.0,1.0,1.0318069714095651e-16,1.1102630177156677e-15,1.6794724528530646e-15,-2.8385759184653235e-12,-3.022368466692898e-11,-7.103197514795676e-11,1.3769481766797474e-11
0.04900000000000004,0.5141570552417475,0.3352232666428791,0.25373742652605746,-1.583441455077846e-15,-0.4904999999999781,3.195477066020811e-14,-1.0713223459519429e-10,-9.809999999973506,7.493204073984088e-11,0.0,0.0,1.0,7.511763325723549e-17,1.0978814647406262e-15,1.6905320882512041e-15,-1.1148614046931353e-11,1.4897923950941652e-11,-1.6646762766680807e-11,2.3664987312741705e-11
0.05000000000000004,0.5141570552417475,0.33472295664287915,0.2537374265260574,-3.879063463813575e-14,-0.5003099999999748,-6.791561324657581e-14,-3.72071931830579e-11,-9.80999999999671,-9.987038390678392e-11,0.0,0.0,1.0,9.396380919533865e-17,9.172326746044241e-16,1.6233104308947393e-15,-1.672761680880432e-12,-3.2015268194456653e-12,4.630904856826706e-11,-4.684362090485886e-11
0.05100000000000004,0.5141570552417475,0.3342128366428791,0.2537374265260574,-2.963269334345027e-14,-0.5101200000000503,1.5609774914914137e-14,9.157941294685479e-12,-9.81000000007548,8.352538816148995e-11,0.0,0.0,1.0,6.618389842511825e-17,1.0901517599003e-15,1.6429905130601636e-15,2.253480796178726e-11,-1.861456976741605e-11,-2.0363278738358786e-11,8.665940264054955e-12
0.05200000000000004,0.5141570552417475,0.3336929066428791,0.2537374265260574,5.530301235613877e-14,-0.5199299999999839,1.011780009732792e-14,8.493570569958904e-11,-9.809999999933595,-5.4919748175862165e-12,0.0,0.0,1.0,8.491790353224895e-17,1.1665178026248278e-15,1.640350081053959e-15,-4.833251949718453e-11,-2.342678549490818e-11,4.655330929107941e-11,7.738227310770505e-11
0.05300000000000004,0.5141570552417475,0.3331631666428791,0.2537374265260574,5.828099741181564e-15,-0.5297399999999878,-2.5261851248098256e-16,-4.94749126149572e-11,-9.810000000003871,-1.0370418609808903e-11,0.0,0.0,1.0,1.05202947404602e-16,1.0909114612136317e-15,1.6684827201347804e-15,6.389157888221275e-11,8.335515254056247e-11,-9.346077719808648e-11,-1.240022041365892e-10
